City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Lorengau,PG,78.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Fort Nelson,CA,71.19,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
314,Fare,PF,77.59,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
315,Albany,US,84.27,broken clouds,42.6001,-73.9662,
321,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
322,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
325,Hithadhoo,MV,80.92,broken clouds,-0.6,73.0833,Scoop Guest House
328,Shaunavon,CA,83.98,clear sky,49.6501,-108.4181,Bear's Den Lodge
330,Albany,US,84.27,broken clouds,42.6001,-73.9662,
341,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
344,Kouango,CF,72.37,overcast clouds,4.9934,19.9619,
346,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
349,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
351,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
352,Wilmington,US,89.98,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
353,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
354,Gopalpur,IN,85.19,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
357,Kamaishi,JP,70.75,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
360,Nicoya,CR,85.55,overcast clouds,10.1483,-85.452,Guayacan Real
361,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
362,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
363,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
364,Hilo,US,81.63,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
365,Salalah,OM,77.5,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
370,Jinchang,CN,75.18,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
373,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
377,Santa Cruz De Tenerife,ES,80.71,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
380,Prado,BR,73.38,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
381,Loa Janan,ID,73.26,broken clouds,-0.583,117.095,Rumah Elys Fitria Wahyuning Tyas
382,Isangel,VU,74.89,overcast clouds,-19.55,169.2667,Tanna Lodge
383,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
384,Itoman,JP,80.98,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
385,Suarez,CO,79.45,moderate rain,2.954,-76.6964,Hotel Estrella Dorada
387,Bria,CF,70.84,overcast clouds,6.5423,21.9863,
388,Tessalit,ML,88.61,overcast clouds,20.1986,1.0114,
389,Hazorasp,UZ,84.04,clear sky,41.3194,61.0742,Kemping wifi hotel
390,Padang,ID,77.05,clear sky,-0.9492,100.3543,Mercure Padang
392,Atuona,PF,78.06,broken clouds,-9.8,-139.0333,Villa Enata
394,Jamestown,US,85.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
