City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
1469,Georgetown,5.4112,100.3354,83.89,86,20,0.0,MY,2021-07-25 18:54:23,few clouds
1470,Najran,17.4924,44.1277,88.27,27,80,7.65,SA,2021-07-25 19:03:06,broken clouds
1471,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
1472,Albany,42.6001,-73.9662,84.27,73,66,3.15,US,2021-07-25 18:54:00,broken clouds
1473,Maniitsoq,65.4167,-52.9,45.82,73,100,8.05,GL,2021-07-25 19:00:12,overcast clouds
1474,Lompoc,34.6391,-120.4579,82.02,67,100,1.99,US,2021-07-25 18:59:11,overcast clouds
1475,Tasiilaq,65.6145,-37.6368,46.56,86,55,5.64,GL,2021-07-25 19:00:57,broken clouds
1476,Ashtabula,41.7001,-80.7665,88.54,71,1,8.77,US,2021-07-25 19:03:07,clear sky
1477,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
1478,Sakata,38.9167,139.855,73.11,84,11,8.52,JP,2021-07-25 19:03:07,few clouds
1479,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
1480,Tuktoyaktuk,69.4541,-133.0374,50.0,93,90,12.66,CA,2021-07-25 18:57:24,light rain
1481,La Malbaie,47.6575,-70.1559,66.65,99,100,4.41,CA,2021-07-25 19:03:08,overcast clouds
1482,Khatanga,71.9667,102.5,48.52,89,31,6.87,RU,2021-07-25 18:57:05,scattered clouds
1483,Butaritari,3.0707,172.7902,81.48,77,86,10.69,KI,2021-07-25 18:54:40,moderate rain
1484,Belaya Gora,68.5333,146.4167,46.99,63,8,11.5,RU,2021-07-25 19:03:09,clear sky
1485,Dikson,73.5069,80.5464,39.25,86,100,13.73,RU,2021-07-25 18:57:16,overcast clouds
1486,Makakilo City,21.3469,-158.0858,79.68,83,90,0.0,US,2021-07-25 18:56:16,overcast clouds
1487,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1488,Cape Town,-33.9258,18.4232,62.11,54,0,1.14,ZA,2021-07-25 18:57:02,clear sky
1489,Alofi,-19.0595,-169.9187,77.88,75,10,5.79,NU,2021-07-25 19:00:29,clear sky
1490,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
1491,Vaini,-21.2,-175.2,66.36,100,20,0.0,TO,2021-07-25 18:54:43,fog
1492,Jamestown,42.097,-79.2353,85.08,65,0,9.19,US,2021-07-25 18:57:44,clear sky
1493,Kaitangata,-46.2817,169.8464,49.93,59,100,3.83,NZ,2021-07-25 18:56:09,moderate rain
1494,Jamestown,42.097,-79.2353,85.08,65,0,9.19,US,2021-07-25 18:57:44,clear sky
1495,Codrington,-38.2667,141.9667,49.14,94,46,13.87,AU,2021-07-25 18:58:45,scattered clouds
1496,Bobrovka,54.047,61.7455,55.78,78,0,5.59,RU,2021-07-25 19:03:11,clear sky
1497,Bethel,41.3712,-73.414,81.01,83,100,1.01,US,2021-07-25 18:59:11,overcast clouds
1498,Yumen,40.2833,97.2,77.41,32,2,8.61,CN,2021-07-25 19:03:11,clear sky
1499,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
